31,1,Koromač 1,N,N,N,N,N,N,N,S,S,R,Pr,Pr,R,R,R,P,P,P,P,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
32,1,Koromač 2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,R,Pr,Pr,Pr,R,R,P,P,P,P,N,N,N,N,N,N,N,N,N,N
33,1,Špinača 1,N,N,N,N,N,N,N,Pr,Pr,Pr,R,P,P,P,P,P,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
34,1,Špinača 2,P,P,P,P,P,P,P,P,P,N,N,N,N,N,N,N,N,N,N,N,N,N,Pr,Pr,Pr,Pr,R,P,P,P,P,P,P,P,P,P
35,1,Rukola 1,N,N,N,N,N,N,N,N,N,Pr,Pr,R,R,P,P,P,P,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
36,1,Rukola 2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Pr,Pr,Pr,R,R,P,P,P,P,P,P,P,P,P
37,1,Kitajsko zelje,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,Pr,Pr,Pr,R,R,R,R,P,P,P,P,N,N,N,N,N
38,1,Brstični in list. ohrovt,P,P,P,P,P,P,P,P,P,N,N,N,S,S,Pi,R,Pr,Pr,Pr,R,R,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P
39,1,Motovilec,P,P,P,P,P,P,P,P,P,N,N,N,N,N,N,N,N,N,N,N,N,N,Pr,Pr,Pr,Pr,R,R,R,P,P,P,P,P,P,P
40,1,Česen,N,N,N,N,Pr,Pr,Pr,R,R,R,R,R,R,R,R,P,P,P,P,N,N,N,N,N,N,N,N,N,Pr,Pr,Pr,N,N,N,N,N
41,1,Čebula 1,N,N,N,N,N,N,N,N,Pr,Pr,Pr,P,P,P,P,P,P,P,P,P,P,P,N,N,N,N,N,N,Pr,Pr,Pr,N,N,N,N,N
42,1,Čebula 2,N,N,N,S,S,S,R,R,Pr,Pr,Pr,R,R,R,P,P,P,P,P,P,P,P,N,N,N,N,N,N,N,N,N,N,N,N,N,N
43,1,Gomoljna zelena,N,N,N,N,S,S,Pi,Pi,R,R,Pr,Pr,R,R,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P,N,N,N,N,N,N,N
44,1,Rdeča pesa 1,N,N,N,N,N,N,N,N,Pr,Pr,R,R,R,R,P,P,P,P,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
45,1,Rdeča pesa 2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Pr,Pr,R,R,R,R,P,P,P,P,P,N,N,N,N,N,N,N,N,N
46,1,Redkvica,N,N,N,N,N,Pr,Pr,Pr,Pr,R,P,P,P,P,P,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
47,1,Korenje 1,N,N,N,N,N,Pr,Pr,Pr,Pr,R,R,R,P,P,P,P,P,P,P,P,P,P,P,P,N,N,N,N,N,N,N,N,N,N,N,N
48,1,Korenje 2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Pr,Pr,Pr,Pr,R,R,R,P,P,P,P,P,P,P,P,P,N,N,N,N,N,N
49,1,Koleraba in repa,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Pr,Pr,Pr,R,R,R,R,P,P,P,P,P,P,N,N,N,N,N,N
50,1,Pastinak,N,N,N,N,N,N,N,N,Pr,Pr,Pr,R,R,R,R,R,R,R,R,R,R,R,P,P,P,P,P,P,P,P,N,N,N,N,N,N
51,1,Krompir,N,N,N,N,N,N,N,N,Pr,Pr,Pr,R,R,R,R,P,P,P,P,P,P,P,N,N,N,N,N,N,N,N,N,N,N,N,N,N
52,1,Sladki krompir,N,N,N,N,N,N,N,S,S,R,Pi,R,R,Pr,Pr,Pr,R,R,R,R,R,R,R,R,R,P,P,P,N,N,N,N,N,N,N,N
