id,user_id,name,todo_1_1,todo_1_2,todo_1_3,todo_2_1,todo_2_2,todo_2_3,todo_3_1,todo_3_2,todo_3_3,todo_4_1,todo_4_2,todo_4_3,todo_5_1,todo_5_2,todo_5_3,todo_6_1,todo_6_2,todo_6_3,todo_7_1,todo_7_2,todo_7_3,todo_8_1,todo_8_2,todo_8_3,todo_9_1,todo_9_2,todo_9_3,todo_10_1,todo_10_2,todo_10_3,todo_11_1,todo_11_2,todo_11_3,todo_12_1,todo_12_2,todo_12_3
21,1,Blitva 1,,,,,S,S,Pi,R,Pr,Pr,R,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,
22,1,Blitva 2,,,,,,,,,,,,,S,S,Pi,R,Pr,Pr,Pr,R,P,P,P,P,P,P,P,P,P,P,P,P,P,,,
23,1,Peteršilj 1,,,,,S,S,Pi,R,Pr,Pr,R,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,
24,1,Peteršilj 2,,,,,,,,,,,,,S,S,Pi,R,Pr,Pr,Pr,R,P,P,P,P,P,P,P,P,P,P,P,P,P,,,
25,1,Por 1,,,,S,S,S,R,R,Pr,Pr,Pr,R,R,R,R,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,
26,1,Por 2,P,P,P,P,P,P,P,P,P,S,S,S,S,R,R,Pr,Pr,Pr,R,R,R,R,R,R,P,P,P,P,P,P,P,P,P,P,P,P
27,1,Endivija in radič 1,,,,,,,,,,,,,,,,S,S,Pi,Pr,Pr,R,R,P,P,P,P,P,P,P,P,P,P,P,,,
28,1,Endivija in radič 2,P,P,P,,,,,,,,,,,,,,,,S,S,Pi,Pr,Pr,R,R,P,P,P,P,P,P,P,P,P,P,P
29,1,Solate 1,,,,,S,S,Pi,Pr,Pr,R,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,
30,1,Solate 2,,,,,,,,,,,,,,,,,,,,,,S,S,Pi,Pr,Pr,R,P,P,P,P,P,P,,,
31,1,Koromač 1,,,,,,,,S,S,R,Pr,Pr,R,R,R,P,P,P,P,,,,,,,,,,,,,,,,,
32,1,Koromač 2,,,,,,,,,,,,,,,S,S,R,Pr,Pr,Pr,R,R,P,P,P,P,,,,,,,,,,
33,1,Špinača 1,,,,,,,,Pr,Pr,Pr,R,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,
34,1,Špinača 2,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,Pr,Pr,Pr,Pr,R,P,P,P,P,P,P,P,P,P
35,1,Rukola 1,,,,,,,,,,Pr,Pr,R,R,P,P,P,P,,,,,,,,,,,,,,,,,,,
36,1,Rukola 2,,,,,,,,,,,,,,,,,,,,,,,Pr,Pr,Pr,R,R,P,P,P,P,P,P,P,P,P
37,1,Kitajsko zelje,,,,,,,,,,,,,,,,,,,S,S,Pr,Pr,Pr,R,R,R,R,P,P,P,P,,,,,
38,1,Brstični in list. ohrovt,P,P,P,P,P,P,P,P,P,,,,S,S,Pi,R,Pr,Pr,Pr,R,R,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P
